Week Ending,Provider State,Residents Weekly Confirmed COVID-19,Residents Weekly All Deaths,Residents Weekly COVID-19 Deaths,Total Number of Occupied Beds
2020-05-31,UT,49.0,20.0,3.0,4948.0
2020-05-31,VA,249.0,177.0,69.0,24381.0
2020-05-31,VT,0.0,15.0,0.0,2172.0
2020-05-31,WA,68.0,69.0,24.0,13102.0
2020-05-31,WI,106.0,179.0,29.0,19672.0
2020-05-31,WV,0.0,54.0,1.0,8501.0
2020-05-31,WY,4.0,13.0,1.0,2172.0
2020-06-07,AK,9.0,0.0,0.0,657.0
2020-06-07,AL,196.0,127.0,25.0,20458.0
2020-06-07,AR,115.0,63.0,7.0,16353.0
2020-06-07,AZ,225.0,128.0,50.0,11035.0
2020-06-07,CA,1019.0,637.0,243.0,89479.0
2020-06-07,CO,78.0,128.0,39.0,15019.0
2020-06-07,CT,228.0,179.0,82.0,17769.0
2020-06-07,DC,9.0,7.0,1.0,1765.0
2020-06-07,DE,69.0,31.0,13.0,3314.0
2020-06-07,FL,296.0,461.0,105.0,64948.0
2020-06-07,GA,381.0,234.0,90.0,29261.0
2020-06-07,GU,0.0,0.0,0.0,10.0
2020-06-07,HI,0.0,5.0,0.0,3451.0
2020-06-07,IA,55.0,118.0,28.0,21275.0
2020-06-07,ID,0.0,21.0,0.0,3820.0
2020-06-07,IL,575.0,558.0,234.0,58074.0
2020-06-07,IN,259.0,264.0,106.0,34574.0
2020-06-07,KS,30.0,95.0,17.0,16407.0
2020-06-07,KY,118.0,95.0,20.0,21036.0
2020-06-07,LA,287.0,171.0,87.0,23035.0
2020-06-07,MA,310.0,273.0,159.0,29764.0
2020-06-07,MD,284.0,237.0,106.0,19088.0
2020-06-07,ME,1.0,42.0,1.0,5424.0
2020-06-07,MI,144.0,604.0,71.0,31777.0
2020-06-07,MN,113.0,222.0,63.0,20802.0
2020-06-07,MO,119.0,184.0,44.0,35482.0
2020-06-07,MS,275.0,99.0,59.0,14877.0
2020-06-07,MT,0.0,13.0,0.0,3668.0
2020-06-07,NC,188.0,212.0,57.0,33358.0
2020-06-07,ND,6.0,25.0,2.0,4891.0
2020-06-07,NE,43.0,83.0,11.0,10096.0
2020-06-07,NH,77.0,61.0,36.0,5759.0
2020-06-07,NJ,647.0,695.0,224.0,33299.0
2020-06-07,NM,28.0,36.0,7.0,4779.0
2020-06-07,NV,26.0,29.0,8.0,4970.0
2020-06-07,NY,1114.0,735.0,241.0,89779.0
2020-06-07,OH,312.0,474.0,88.0,64141.0
2020-06-07,OK,67.0,70.0,8.0,16370.0
2020-06-07,OR,37.0,65.0,2.0,6660.0
2020-06-07,PA,482.0,823.0,190.0,65627.0
2020-06-07,PR,0.0,0.0,0.0,47.0
2020-06-07,RI,115.0,66.0,40.0,6256.0
2020-06-07,SC,144.0,112.0,30.0,16228.0
